net,length_um
dsa\[27\].last_carry_next,3.2
dsa\[7\].last_carry_next,3.2
dsa\[2\].y_out_next,3.1
_084_,3.08
_023_,2.98
net18,2.98
_055_,2.96
_061_,2.96
_065_,2.76
dsa\[15\].y_out_next,2.74
dsa\[6\].last_carry_next,2.74
dsa\[23\].y_out_next,2.64
_007_,2.62
_049_,2.62
dsa\[13\].last_carry_next,2.28
dsa\[1\].y_out_next,2.28
dsa\[12\].y_out_next,2.18
dsa\[20\].y_out_next,2.18
dsa\[8\].y_out_next,2.18
_058_,2.16
dsa\[0\].y_out_next,2.16
dsa\[12\].last_carry_next,2.16
dsa\[17\].last_carry_next,2.16
dsa\[31\].y_out_next,2.16
_036_,2.04
_040_,2.04
_068_,2.04
_087_,2.04
net33,2.04
dsa\[18\].y_out_next,1.7
dsa\[21\].y_out_next,1.7
dsa\[22\].last_carry_next,1.7
dsa\[29\].y_out_next,1.7
dsa\[4\].y_out_next,1.7
